Age,Income,Time_On_App,Discount_Used,Payment_Method,Subscription,Spending_Score
56,81476,16.08950260262595,49.19888239799141,Card,Basic,25368.994544872367
46,64811,14.001076857613748,20.46670031575215,Card,Premium,19303.760455340376
32,56208,14.034618886204612,44.70496018395672,Wallet,Premium,17746.004576802356
25,40150,49.80160961272602,11.497730294554309,Card,Premium,13810.827253232208
38,91180,41.58584713829101,10.655235201254165,UPI,Premium,28447.48739100431
56,63286,33.76859836230156,1.556704144225568,Wallet,Basic,18531.38407866116
36,88450,24.735676626792635,32.58334126879425,UPI,Premium,26814.712730329105
40,41352,53.24602974472096,18.426317186188058,Wallet,Premium,12033.909917939065
28,75069,26.584480908244945,43.21791249198185,Card,Basic,21989.769766923524
28,34397,49.91296917093674,23.66049533457786,Wallet,Basic,10916.800998926463
41,61555,29.15241997136201,48.40967139573608,UPI,Premium,17815.287559530112
53,66959,25.731943618369918,9.276275785156058,Card,Premium,17946.260650573462
57,20728,30.447388211828354,43.43115839778054,Wallet,Premium,5483.851362127326
41,70517,21.575783079027815,38.829842639587085,Wallet,Premium,20972.257451986938
20,86234,46.11851590969381,38.5460922322026,Wallet,Basic,27669.283261844794
39,59954,32.649621455086354,42.239161405844385,UPI,Basic,17684.488980215756
19,67280,17.77169823307495,38.05119954714994,UPI,Basic,20832.38498128895
41,99459,54.47660153010126,31.31101608157077,Wallet,Premium,29942.896805851575
47,36779,26.114017175526627,6.562243884119379,Card,Premium,12333.299717516255
55,83932,34.89540736126938,1.6263089745625958,Card,Premium,26431.92604021943
19,92936,54.85596610305008,46.04239239078434,UPI,Premium,29394.839720536736
38,44466,39.33308977526956,30.832515726036902,Card,Basic,11807.146950911068
50,56939,11.429392238960023,39.826864548808814,UPI,Basic,17350.224737537417
29,89896,56.69076679874113,24.076117575627503,Wallet,Premium,28015.844669266906
39,55270,39.52394291892798,5.865409448119724,UPI,Basic,17113.38909608021
42,79163,23.419808806139738,6.259289610127522,UPI,Premium,24452.11394907278
44,102637,12.659963996486299,34.27826436144857,Wallet,Premium,30915.307352990803
59,71934,48.671385409866275,21.515294744973133,Card,Basic,21033.303309812753
45,84895,39.10400157606824,10.026236335016836,UPI,Premium,23919.475095564125
33,52307,34.340360058697684,24.579727337071844,UPI,Premium,15217.891826319155
32,74098,54.16409206780267,3.2104468537567046,Wallet,Basic,25136.75122768492
20,80921,48.37284661734919,29.09857009571994,Card,Premium,24060.710197187513
54,25486,13.342118385301315,13.449670221754884,UPI,Premium,5699.019706279272
24,28335,22.144713728755153,39.87795503185941,Wallet,Basic,9387.628839436578
38,106900,18.666902689795617,15.518097946178688,UPI,Premium,32992.83071802398
26,109112,45.917046091497234,22.76100745409006,Wallet,Basic,34257.03163551781
56,117203,6.844283910467865,0.5810269954050318,Card,Premium,35583.26197724993
35,31130,36.34393266792241,3.622344389727944,Card,Basic,10321.06586658602
21,107508,46.93522771573798,19.62467782033424,Card,Basic,34335.04262906135
42,80566,53.22211002189622,23.996941735856176,Card,Basic,23675.43094151908
