Date,Sales
2020-01-01,1665.1340837558032
2020-01-02,1799.4656665384562
2020-01-03,1891.622491756914
2020-01-04,2114.855508401148
2020-01-05,
2020-01-06,2586.5162669128536
2020-01-07,2423.5591594898206
2020-01-08,1901.8362219873138
2020-01-09,2690.8919487259695
2020-01-10,2936.5103117877284
2020-01-11,
2020-01-12,2466.1450425331395
2020-01-13,1653.5079013342504
2020-01-14,2400.3740106616497
2020-01-15,2619.1189703232158
2020-01-16,
2020-01-17,1073.8364504921196
2020-01-18,2417.7170441079325
2020-01-19,2067.7012412418057
2020-01-20,1165.7806230486858
2020-01-21,3264.782252731411
2020-01-22,2312.209706128276
2020-01-23,2335.050020062576
2020-01-24,2682.9088762810243
2020-01-25,1709.588023576749
2020-01-26,
2020-01-27,1340.3390431101184
2020-01-28,1696.0257763574077
2020-01-29,2192.8300002346186
2020-01-30,1167.3576664337738
2020-01-31,1681.8552271609594
2020-02-01,1536.0330200311396
2020-02-02,2071.0461228101726
2020-02-03,2287.350630832674
2020-02-04,2371.0764021882287
2020-02-05,2499.4083223890752
2020-02-06,2686.0584232861856
2020-02-07,2303.622726841703
2020-02-08,2943.667949447208
2020-02-09,2059.751260632341
2020-02-10,1913.339422874726
2020-02-11,2303.65368168002
2020-02-12,1891.7944125037056
2020-02-13,2926.282364387525
2020-02-14,2565.491736567606
2020-02-15,2375.139072099757
2020-02-16,2065.7096720206755
2020-02-17,1796.2614142925686
2020-02-18,2350.66250228388
2020-02-19,1436.4512740765203
2020-02-20,2767.1817667205105
2020-02-21,1911.1816473073134
2020-02-22,2152.5533666203646
2020-02-23,1545.1994619033555
2020-02-24,2361.4931315596104
2020-02-25,1773.1291935808358
2020-02-26,
2020-02-27,2378.696734488695
2020-02-28,1676.1839432057297
2020-02-29,1438.2354395430025
2020-03-01,2765.9499582722724
2020-03-02,1903.850482985459
2020-03-03,2112.424408022819
2020-03-04,2242.732262323371
2020-03-05,1373.1499350508898
